"Facility_name","District","Latitude","Longitude","Ownership","Medical_Doctor","Clinical_Officer","Nurses_nurseAssist","Lab_tech","Lab_assist","Microscopist","Elec_micro","Nat_micro","Centrifuge","Microscope_slides","Capillary_Tubes","Fields_Giemsa","CATT","SS_Treat","Dist_km_toTreat","Name_treat","Energy_source","Water_source","Role","Active2014","Active.2015","RDT_used_14","RDT_pos_14","RDT_used_15","RDT_pos_15"
"Iboa HCII","Moyo",3.53986,31.74123,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",32,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",13,0,8,0
"Imvepi HCII","Arua",3.23418,31.28175,"Government",0,0,5,0,0,0,"No","No","No","No","No","No","No","No",20,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",18,0,5,0
"Inde HCIII","Arua",2.88227,31.2134,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",74,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",68,0,47,2
"Indilinga HCII","Moyo",3.22009,31.53118,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",76,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",9,0,10,0
"Itia HCII","Arua",3.17313,30.97626,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",20,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",142,1,67,0
"Itula HCIII","Moyo",3.40639,31.60997,"Government",0,0,5,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",52,"Moyo Hosp","Solar","Bore hole","LED","Yes","Yes",52,2,96,0
"Jenggari HCII","Amuru",2.94657,32.13797,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",33,0,0,0
"Kaladima HCIII","Amuru",2.8224,32.13915,"Government",0,2,4,1,1,0,"","No","Yes","Yes","Yes","Yes","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",12,0,0,0
"Kali HCII","Moyo",3.47112,31.567,"Private",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",25,"Moyo Hosp","No electricity","Bore hole","RDT","Yes","Yes",9,0,4,0
"Kamaka HCIII","Maracha",3.24706,30.85901,"Government",0,1,8,0,1,0,"No","No","No","No","No","No","No","No",30,"Omugo HCIV","Solar","river/lake/well","RDT","Yes","Yes",63,5,44,0
"Katiyi HCIII","Arua",2.759,31.06525,"Private",0,0,3,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",122,"Omugo HCIV","Solar","Rain water","RDT","Yes","No",54,0,0,0
"Kei HCIII","Yumbe",3.61453,31.11819,"Private",0,1,5,0,1,0,"Yes","Yes","No","Yes","No","Yes","No","No",25,"Yumbe Hosp","Solar","river/lake/well","RDT","Yes","Yes",62,3,11,0
"Kerwa HCII","Yumbe",3.68339,31.29181,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",12,"Midigo H/C IV","No electricity","Bore hole","RDT","Yes","Yes",120,3,78,4
"Kijomoro HCIII","Maracha",3.17017,30.91149,"Government",0,1,9,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",25,"Omugo HCIV","Solar","Rain water","RDT","Yes","Yes",218,8,34,0
"Koboko HCIV","Koboko",3.40942,30.95937,"Government",2,2,13,1,1,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",35,"Omugo HCIV","Solar","Bore hole","LED","Yes","Yes",106,2,105,5
"Koboko Imaging Centre","Koboko",3.406583333,30.95646667,"Private",0,1,3,1,0,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",45,"Omugo HCIV","Solar","Piped water","RDT","No","Yes",0,0,9,0
"Koboko Medical Centre","Koboko",3.408866667,30.95505,"Private",1,1,3,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",45,"Omugo HCIV","Solar","Piped water","RDT","No","Yes",0,0,15,1
"Koboko Mission HCIII","Koboko",3.42035,30.95522,"Private",0,0,4,0,0,1,"No","Yes","No","Yes","No","Yes","No","No",35,"Omugo HCIV","Solar","Rain water","RDT","Yes","Yes",41,2,53,1
"Kochi HCIII","Yumbe",3.56332,31.44347,"Government",0,0,4,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",26,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",47,0,172,27
"Kulikulinga HCIII","Yumbe",3.34393,31.24693,"Government",0,0,9,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",6,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",51,1,79,4
"Kuluba HCII","Koboko",3.50594,30.94196,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",43,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",77,1,43,1
"Kuluva Hospital","Arua",2.94981,30.93375,"Private",,,,,,,"","","","","","","No","No",,"","","","RDT","Yes","No",6,0,0,0
"Kureku HCII","Adjumani",3.30862,31.80161,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",7,"Adjumani Hosp","No electricity","Rain water","RDT","Yes","No",1,0,0,0
"Kuru Medical Clinic","Yumbe",3.4372,31.18425,"Private",0,0,1,0,1,0,"Yes","No","Yes","Yes","Yes","Yes","No","No",0.5,"Yumbe Hospital","Solar","Piped water","RDT","No","Yes",0,0,2,0
"Kweyo HCII","Moyo",3.71113,31.73701,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",15,"Moyo Hospital","Solar","Rain water","RDT","Yes","Yes",3,0,17,0
"Labongogali HCIII","Amuru",2.81496,32.01852,"Government",0,1,8,1,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",19,0,0,0
"Lama HCII","Moyo",3.61347,31.74693,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",5,"Moyo Hosp","Solar","Piped water","RDT","Yes","Yes",20,0,24,0
"Laropi HCIII","Moyo",3.57472,31.83074,"Government",0,2,5,1,0,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",24,"Moyo Hosp","Solar","Bore hole","LED","Yes","Yes",49,6,32,0
"Lazebu HCII","Arua",2.72912,30.92861,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",80,"Omugo HCIV","Solar","Rain water","RDT","Yes","No",13,0,0,0
"Lefori HCIII","Moyo",3.58468,31.58361,"Government",0,1,3,0,0,1,"Yes","Yes","Yes","Yes","No","Yes","No","No",20,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",12,0,4,0
"Lewa HCII","Adjumani",3.29406,31.90513,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",16,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",1,0,0,0
"Liwa HCII","Moyo",3.25326,31.49298,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",72,"Moyo Hosp","No electricity","river/lake/well","RDT","Yes","Yes",22,0,54,0
"Lobe HCII","Yumbe",3.5648,31.12481,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",14,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",67,1,35,0
"Lobule HCIII","Koboko",3.389,31.02399,"Government",0,1,3,0,0,1,"Yes","Yes","No","Yes","No","Yes","No","No",32,"Omugo HCIV","Solar","Rain water","RDT","Yes","Yes",199,6,54,3
"Locomgbo HCII","Yumbe",3.48476,31.44421,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",24,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",31,0,10,0
"Lodonga HCIII","Yumbe",3.40209,31.12783,"Private",0,1,7,0,2,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",8,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",39,0,28,3
"Logiri HCIII","Arua",2.73525,30.85292,"Government",0,1,7,0,1,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",80,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",47,0,0,0
"Logoba HCII","Moyo",3.68436,31.70032,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",4,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",43,0,64,0
"Lomunga HCII","Moyo",3.3536,31.55855,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",40,"Moyo Hosp","Solar","river/lake/well","RDT","Yes","Yes",23,0,30,0
"Lopke HCII","Yumbe",3.55217,31.54729,"Government",0,0,1,0,0,0,"No","No","No","No","No","No","No","No",29,"Yumbe Hosp","No electricity","Bore hole","RDT","Yes","Yes",75,1,42,1
"Loyinya HCII","Maracha",3.29223,30.97997,"Government",0,0,5,0,0,0,"No","No","No","No","No","No","No","No",30,"Omugo HCIV","No electricity","Rain water","RDT","Yes","Yes",68,2,1,0
"Ludara HCIII","Koboko",3.51913,31.00209,"Government",0,1,7,0,1,0,"Yes","Yes","No","Yes","No","Yes","No","No",55,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",188,13,168,2
"Lurujo HCII","Koboko",3.35821,31.01296,"Government",0,0,1,0,0,0,"No","No","No","No","No","No","No","No",20,"Omugo HCIV","Solar","Rain water","RDT","Yes","Yes",192,6,60,1
"Maaji A HCII","Adjumani",3.26476,31.61464,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",40,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",0,0,0,0
"Maaji B HCII","Adjumani",3.24738,31.65421,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",30,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",5,0,0,0
"Maduga HCII","Moyo",3.27788,31.55155,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",50,"Moyo Hosp","No electricity","Bore hole","RDT","Yes","Yes",3,0,9,0
"Magburu HCII","Adjumani",3.3722,31.67626,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",7,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",2,0,0,0
"Maracha Hospital","Maracha",3.23994,30.92144,"Private",2,1,7,1,4,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",20,"Omugo HCIV","Solar","Piped water","LED","Yes","Yes",9,2,0,2
"Marryland HCIII","Adjumani",3.36518,31.81995,"Private",0,0,4,0,2,0,"Yes","Yes","No","Yes","Yes","No","No","No",3,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",0,0,0,0
"Masjid Noor HCII","Arua",3.03937,30.91352,"Private",0,0,5,1,0,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",43,"Omugo HCIV","No electricity","Piped water","RDT","Yes","No",1,0,0,0
"Matuma HCIII","Yumbe",3.52092,31.10555,"Government",0,0,5,0,1,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",22,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",26,3,5,3
"Metu HCIII","Moyo",3.66811,31.79172,"Government",0,1,6,0,2,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",15,"Moyo Hosp","Solar","Piped water","RDT","Yes","Yes",53,4,78,0
"Midigo HCIV","Yumbe",3.6101,31.23369,"Government",2,4,8,1,1,0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",30,"Yumbe Hosp","Solar","Piped water","LED","Yes","Yes",97,4,36,0
"Midigo Medical Centre","Yumbe",3.6031,31.22665,"Private",1,0,1,0,1,0,"No","Yes","No","Yes","Yes","Yes","No","No",24,"Yumbe Hospital","No electricity","Piped water","RDT","No","Yes",0,0,20,0
"Mocha HCII","Yumbe",3.5733,31.22569,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",15,"Yumbe Hopsital","No electricity","Rain water","RDT","Yes","Yes",41,0,3,0
"Mongoyo HCII","Yumbe",3.3466,31.126,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",18,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",101,1,89,6
"Morobo Clinic","Koboko",3.416966667,30.95603333,"Private",0,1,1,0,1,0,"Yes","No","Yes","Yes","No","Yes","No","No",45,"Omugo HCIV","Solar","Piped Water","RDT","No","Yes",0,0,10,0
"Moyo Hospital","Moyo",3.65781,31.728,"Government",4,7,72,3,3,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,"Moyo Hosp","Thermal Generator","Piped water","LAMP & LED","Yes","Yes",122,7,108,5
"Moyo Mission HCIII","Moyo",3.65718,31.71343,"Private",0,0,3,0,1,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",1,"Moyo Hosp","Thermal Generator","Bore hole","RDT","Yes","Yes",3,0,6,0
"Mungula HCIV","Adjumani",3.18992,31.79483,"Government",0,1,10,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",26,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","Yes",12,0,68,0
"Munu HCII","Moyo",3.56045,31.58325,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",20,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",19,0,6,0
"Mutema HCII","Amuru",2.88145,31.8732,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","No electricity","Rain water","RDT","Yes","No",18,0,0,0
"New Life Medical Centre","Yumbe",3.4586,31.24201667,"Private",1,2,5,0,2,0,"No","Yes","No","Yes","No","Yes","No","No",8,"Yumbe Hospital","No electricity","Piped water","RDT","No","Yes",0,0,7,0
"Nicu HCII","Arua",3.05058,31.13027,"Government",0,0,,0,0,0,"No","No","No","No","No","No","No","No",36,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",57,0,21,2
"Nyadri HCIII","Maracha",3.21576,30.94922,"Government",0,1,7,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",19,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",146,13,71,2
"Nyumanzi HCII","Adjumani",3.4537,31.94598,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",32,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","Yes",0,0,25,0
"Oberabic HCII","Amuru",2.91478,31.96658,"Private",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",23,0,0,0
"Obilokongo HCII","Adjumani",3.26473,31.72797,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",17,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",7,0,0,0
"Obofia HCII","Arua",3.20149,31.08518,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",8,"Omugo HCIV","No electricity","Rain water","RDT","Yes","Yes",85,3,31,0
"Obongi HCIV","Moyo",3.2414,31.55158,"Government",0,3,14,0,0,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",70,"Moyo Hosp","Thermal Generator","Bore hole","RDT","Yes","Yes",54,0,73,0
"Ocea HCII","Arua",3.07661,31.28221,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",22,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",305,9,40,0
"Odokonyero HCII","Amuru",2.97243,32.10604,"Government",,,,,,,"","","","","","","","",,"","","","RDT","Yes","No",12,0,0,0
"Odraka HCII","Arua",2.83285,31.12135,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",73,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",6,0,2,0
"Oduobo HCII","Arua",3.1321,31.34723,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",27,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",113,0,45,0
"Odupi HCIII","Arua",3.29692,31.17591,"Government",0,0,5,0,0,0,"No","No","No","No","No","No","No","No",5,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",50,1,11,0
"Offaka HCIII","Arua",2.63948,31.02975,"Government",0,2,8,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",120,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",24,0,0,0
"Ofua HCIII","Adjumani",3.25568,31.78586,"Government",0,2,7,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",10,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",4,0,0,0
"Ogoko HCII","Arua",2.91732,31.33348,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",50,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",101,0,129,0
"Ogolo HCII","Adjumani",3.55195,31.98482,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",42,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",3,0,0,0
"Ogua HCII","Arua",3.14133,31.02365,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",25,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",18,0,6,0
"Ojee mission HCIII","Arua",3.01784,30.89833,"PNFP",0,1,6,0,2,0,"Yes","No","Yes","Yes","No","No","No","No",48,"Omugo Health centre","Hydro_electric","Piped water","RDT","Yes","No",19,0,0,0
"Okidi HCII","Amuru",3.26688,32.22371,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",28,0,0,0
"Okollo HCII","Arua",2.65821,31.1474,"Government",0,1,6,0,1,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",90,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",75,0,0,0
"Okunggedi HCII","Amuru",2.87785,31.93951,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",21,0,0,0
"Okusijoni HCIII","Adjumani",3.28164,31.68379,"Government",0,1,3,0,1,0,"No","Yes","No","Yes","Yes","No","No","No",36,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",20,1,0,0
"Okuyo HCII","Yumbe",3.30896,31.33227,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",28,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",40,0,2,0
"Oleba HCIII","Maracha",3.30081,30.92827,"Government",0,0,9,0,1,1,"No","Yes","No","Yes","Yes","Yes","No","No",18,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",30,0,27,0
"Oli HCIV","Arua",3.03331,30.90711,"Government",1,3,22,1,1,1,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",55,"Omugo HCIV","Solar","Piped water","RDT","Yes","No",21,0,0,0
"Olia HCII","Adjumani",3.36454,31.90636,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",7,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",9,0,0,0
"Olinga HCII","Amuru",3.0669193,32.0428422,"Government",,,,,,,"","","","","","","","",,"","","","RDT","Yes","No",15,0,0,0
"Olujobo HCIII","Arua",3.07374,31.40556,"Government",0,0,4,0,1,0,"Yes","Yes","No","Yes","No","Yes","No","No",40,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",153,3,58,0
"Oluko Italia Solidale HCII","Arua",3.01761,30.97743,"Private",0,0,2,0,1,0,"No","Yes","No","Yes","Yes","Yes","No","No",53,"Omugo HCIV","Solar","Rain water","RDT","Yes","No",22,0,0,0
"Oluvu HCIII","Maracha",3.19998,30.87409,"Government",0,1,7,0,1,0,"No","Yes","No","Yes","Yes","No","No","No",40,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",102,0,15,0
"Olwal HCIII","Amuru",2.83763,32.07909,"Government",0,2,6,0,1,0,"No","Yes","No","No","No","No","No","No",,"Adjumani Hospital","No electricity","Bore hole","RDT","Yes","No",17,0,0,0
"Ombidri Ondrea HCIII","Arua",3.0714,30.96583,"Government",0,0,6,0,0,0,"No","No","No","No","No","No","No","No",35,"Omugo HCIV","No electricity","Rain water","RDT","Yes","No",21,0,0,0
"Omugo HCIV","Arua",3.27945,31.11511,"Government",0,2,14,0,2,1,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",0,"Omugo HCIV","Solar","Bore hole","LAMP & LED","Yes","Yes",248,20,156,15
"Opejo HCII","Adjumani",3.43159,31.68416,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",15,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",8,0,0,0
"Openzizi HCIII","Adjumani",3.33542,31.75143,"Government",0,2,6,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",8,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",10,0,0,0
"Opia HCIII","Arua",2.82491,30.90172,"Government",0,0,5,0,0,0,"No","No","No","No","No","No","No","No",65,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",1,0,0,0
"Opiro HCII","Moyo",3.67057,31.74094,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",1,"Moyo Hospital","Solar","Bore hole","RDT","Yes","Yes",15,0,11,0
"Oraba HCII","Koboko",3.5358,30.8893,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",53,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",150,0,22,0
"Ori HCII","Moyo",3.63601,31.79071,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",5,"Moyo Hosp","Solar","Piped water","RDT","Yes","Yes",65,0,22,0
"Oriajin Hospital","Arua",3.10012,30.96805,"Private",1,4,15,0,3,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",22,"Omugo HCIV","Hydro_electric","Piped water","RDT","Yes","Yes",1,0,0,0
"Orivu HCII","Arua",3.03034,30.98574,"Government",0,0,5,0,0,0,"No","No","No","No","No","No","No","No",55,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",3,0,0,0
"Otici HCII","Amuru",2.95285,32.01303,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","No electricity","Bore hole","RDT","Yes","No",18,0,0,0
"Otong HCII","Amuru",3.01741,32.19579,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",0,0,0,0
"Otumbari HCIII","Arua",3.342222222,31.21218056,"PNFP",0,0,3,0,0,1,"No","Yes","No","Yes","No","No","No","No",5,"Omugo Health centre","Solar","Bore hole","RDT","Yes","Yes",12,0,1,0
"Otwee HCIII","Amuru",2.80575,31.85955,"Government",0,3,7,0,1,0,"Yes","No","No","Yes","No","Yes","No","No",100,"Adjumani Hospital","Solar","Rain water","RDT","Yes","No",15,1,0,0
"Ovujo HCIII","Maracha",3.23111,30.91199,"Government",0,1,6,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",21,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",84,4,42,1
"Oyima HCIII","Arua",2.68622,31.2479,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",140,"Omugo HCIV","Solar","Rain water","RDT","Yes","No",10,0,0,0
"Pabbo HCIII","Amuru",2.99938,32.14157,"Government",0,2,11,1,1,0,"Yes","No","No","Yes","Yes","Yes","No","No",58,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",17,1,0,0
"Pabbo Lacor HCIII","Amuru",3.00804,32.1447,"Private",0,1,12,0,1,0,"Yes","No","Yes","Yes","Yes","Yes","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",33,0,0,0
"Pacara HCII","Adjumani",3.45216,31.79634,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",8,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",0,0,0,0
"Pacilo HCII","Amuru",3.1916,32.20622,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",41,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",18,0,0,0
"Pajama HCII","Yumbe",3.3171,31.05569,"Govt",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",25,"Yumbe Hospital","No electricity","Bore hole","RDT","No","Yes",0,0,0,0
