"Facility_name","District","Latitude","Longitude","Ownership","Medical_Doctor","Clinical_Officer","Nurses_nurseAssist","Lab_tech","Lab_assist","Microscopist","Elec_micro","Nat_micro","Centrifuge","Microscope_slides","Capillary_Tubes","Fields_Giemsa","CATT","SS_Treat","Dist_km_toTreat","Name_treat","Energy_source","Water_source","Role","Active2014","Active.2015","RDT_used_14","RDT_pos_14","RDT_used_15","RDT_pos_15"
"Vurra HCIII","Arua",2.91031,30.88166,"Government",0,1,6,0,0,0,"No","No","No","No","No","No","No","No",65,"Omugo HCIV","Solar","Rain water","RDT","Yes","No",12,0,0,0
"Wadra HCIII","Maracha",3.26021,31.0078,"Government",0,1,5,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",8,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",93,5,67,0
"Waka HCII","Moyo",3.40713,31.50772,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",60,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",9,0,28,0
"Wandi HCIII","Arua",3.10997,30.99093,"Government",0,1,7,0,0,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",30,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",89,7,62,7
"Yinga HCIII","Arua",3.26063,31.24197,"Government",0,0,4,0,0,0,"No","Yes","No","Yes","No","Yes","No","No",10,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",69,2,50,3
"Yivu Abea HCII","Maracha",3.24096,30.97582,"PNFP",0,1,6,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",20,"Omugo Health centre","Solar","Rain water","RDT","Yes","Yes",119,17,58,2
"Yoyo HCIII","Yumbe",3.38845,31.36189,"",0,0,5,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",20,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",39,0,22,0
"Yumbe General Clinic","Yumbe",3.459416667,31.24133333,"Private",0,0,4,0,1,0,"No","Yes","No","Yes","Yes","Yes","No","No",8,"Yumbe Hospital","Solar","Piped water","RDT","No","Yes",0,0,5,0
"Yumbe HCIII","Yumbe",3.46874,31.2466,"Government",0,2,8,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",6,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",44,1,18,2
"Yumbe Hospital","Yumbe",3.43985,31.18752,"Government",3,10,81,2,3,0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,"Yumbe Hosp","Thermal Generator","Piped water","LAMP & LED","Yes","Yes",94,9,41,13
"Zoka HCII","Adjumani",3.14105,31.72474,"Government",0,0,1,0,0,0,"No","No","No","No","No","No","No","No",38,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",9,0,0,0
